customer_name,email,phone
Swathi Sharma,swathisharma@mail.com,918942215886
Srinivas Yadav,srinivasyadav@mail.com,917291827600
Venkatesh Verma,venkateshverma@mail.com,919263589810
Srinivas Reddy,srinivasreddy@mail.com,917388629707
Divya Chowdary,divyachowdary@mail.com,917101186587
Srinivas Goud,srinivasgoud@mail.com,917994733812
Ramesh Reddy,rameshreddy@mail.com,918384684068
Swathi Chowdary,swathichowdary@mail.com,918289317133
Divya Yadav,divyayadav@mail.com,918372236344
Srinivas Yadav,srinivasyadav@mail.com,919373478769
Venkatesh Rao,venkateshrao@mail.com,919833045350
Anusha Chowdary,anushachowdary@mail.com,918317791236
Divya Sharma,divyasharma@mail.com,919928154496
Srinivas Rao,srinivasrao@mail.com,918357353324
Mahesh Rao,maheshrao@mail.com,917016934859
Mahesh Yadav,maheshyadav@mail.com,917316391651
Swathi Chowdary,swathichowdary@mail.com,918532853666
Venkatesh Goud,venkateshgoud@mail.com,917411350686
Ramesh Naik,rameshnaik@mail.com,919988692912
Rajesh Goud,rajeshgoud@mail.com,917327530309
Mahesh Rao,maheshrao@mail.com,918870802842
Venkatesh Deshmukh,venkateshdeshmukh@mail.com,918883796974
Karthik Rao,karthikrao@mail.com,918981219480
Lakshmi Naik,lakshminaik@mail.com,919959110881
Venkatesh Chowdary,venkateshchowdary@mail.com,919094516801
Karthik Sharma,karthiksharma@mail.com,919766668252
Lakshmi Reddy,lakshmireddy@mail.com,918249972774
Rajesh Sharma,rajeshsharma@mail.com,919621266446
Lakshmi Patel,lakshmipatel@mail.com,919708416408
Mahesh Reddy,maheshreddy@mail.com,918069151329
Lakshmi Goud,lakshmigoud@mail.com,918278806052
Karthik Verma,karthikverma@mail.com,918948925814
Swathi Deshmukh,swathideshmukh@mail.com,917988168553
Srinivas Verma,srinivasverma@mail.com,918957225658
Lakshmi Reddy,lakshmireddy@mail.com,918554743609
Anusha Reddy,anushareddy@mail.com,919962221355
Rajesh Naik,rajeshnaik@mail.com,919794491164
Rajesh Sharma,rajeshsharma@mail.com,917885622246
Mahesh Naik,maheshnaik@mail.com,918085387743
Venkatesh Rao,venkateshrao@mail.com,917470153235
Divya Patel,divyapatel@mail.com,919159284977
Anusha Chowdary,anushachowdary@mail.com,918752540547
Mahesh Reddy,maheshreddy@mail.com,919254592502
Divya Yadav,divyayadav@mail.com,919594070243
Srinivas Goud,srinivasgoud@mail.com,919510615683
Venkatesh Yadav,venkateshyadav@mail.com,917507473823
Rajesh Rao,rajeshrao@mail.com,919740741170
Ramesh Deshmukh,rameshdeshmukh@mail.com,918237473536
Karthik Yadav,karthikyadav@mail.com,919800730055
Swathi Sharma,swathisharma@mail.com,918753207633
Venkatesh Naik,venkateshnaik@mail.com,918277444571
Lakshmi Sharma,lakshmisharma@mail.com,917375636522
Karthik Rao,karthikrao@mail.com,918959956307
Venkatesh Deshmukh,venkateshdeshmukh@mail.com,919047241580
Swathi Chowdary,swathichowdary@mail.com,917994051273
Divya Naik,divyanaik@mail.com,919327925149
Lakshmi Yadav,lakshmiyadav@mail.com,919575245458
Swathi Verma,swathiverma@mail.com,918159370900
Venkatesh Deshmukh,venkateshdeshmukh@mail.com,918617074879
Srinivas Naik,srinivasnaik@mail.com,917972015939
Srinivas Rao,srinivasrao@mail.com,919829621349
Ramesh Verma,rameshverma@mail.com,919091405706
Swathi Patel,swathipatel@mail.com,917990764262
Lakshmi Deshmukh,lakshmideshmukh@mail.com,917348654447
Ramesh Reddy,rameshreddy@mail.com,918132321154
Swathi Chowdary,swathichowdary@mail.com,917806171192
Srinivas Patel,srinivaspatel@mail.com,919361355418
Swathi Verma,swathiverma@mail.com,917596835648
Karthik Deshmukh,karthikdeshmukh@mail.com,917037281500
Anusha Yadav,anushayadav@mail.com,919703739721
Karthik Deshmukh,karthikdeshmukh@mail.com,918018309829
Lakshmi Yadav,lakshmiyadav@mail.com,918023351163
Karthik Verma,karthikverma@mail.com,918145442832
Rajesh Sharma,rajeshsharma@mail.com,918432674122
Rajesh Sharma,rajeshsharma@mail.com,919272484923
Karthik Rao,karthikrao@mail.com,917389617789
Srinivas Yadav,srinivasyadav@mail.com,918170642209
Venkatesh Sharma,venkateshsharma@mail.com,917274649439
Venkatesh Yadav,venkateshyadav@mail.com,917005316302
Rajesh Yadav,rajeshyadav@mail.com,919364634495
Mahesh Reddy,maheshreddy@mail.com,919735579459
Mahesh Goud,maheshgoud@mail.com,918420645849
Anusha Deshmukh,anushadeshmukh@mail.com,917656128753
Anusha Reddy,anushareddy@mail.com,917186706156
Karthik Chowdary,karthikchowdary@mail.com,919240822816
Swathi Sharma,swathisharma@mail.com,919166588469
Mahesh Patel,maheshpatel@mail.com,917410329972
Srinivas Rao,srinivasrao@mail.com,917148231764
Karthik Patel,karthikpatel@mail.com,919002585778
Srinivas Yadav,srinivasyadav@mail.com,919693728403
Mahesh Patel,maheshpatel@mail.com,919251443222
Mahesh Reddy,maheshreddy@mail.com,917123704402
Srinivas Naik,srinivasnaik@mail.com,917236518769
Karthik Deshmukh,karthikdeshmukh@mail.com,919082006995
Mahesh Patel,maheshpatel@mail.com,918414034974
Anusha Patel,anushapatel@mail.com,919335440508
Ramesh Sharma,rameshsharma@mail.com,917622889977
Ramesh Yadav,rameshyadav@mail.com,917338949305
Swathi Sharma,swathisharma@mail.com,919170586581
Venkatesh Reddy,venkateshreddy@mail.com,918247425005
Venkatesh Patel,venkateshpatel@mail.com,919545869904
Mahesh Reddy,maheshreddy@mail.com,918264952498
Divya Deshmukh,divyadeshmukh@mail.com,919396585040
Venkatesh Reddy,venkateshreddy@mail.com,919917955874
Srinivas Yadav,srinivasyadav@mail.com,918994387265
Rajesh Rao,rajeshrao@mail.com,918867864993
Rajesh Goud,rajeshgoud@mail.com,918999833853
Swathi Sharma,swathisharma@mail.com,917182150692
Swathi Verma,swathiverma@mail.com,917973938577
Divya Patel,divyapatel@mail.com,919407162954
Srinivas Chowdary,srinivaschowdary@mail.com,919185937392
Srinivas Goud,srinivasgoud@mail.com,917750749327
Rajesh Deshmukh,rajeshdeshmukh@mail.com,919681994980
Lakshmi Deshmukh,lakshmideshmukh@mail.com,917078798191
Mahesh Goud,maheshgoud@mail.com,918658702168
Venkatesh Verma,venkateshverma@mail.com,919479701542
Ramesh Patel,rameshpatel@mail.com,918405293390
Venkatesh Yadav,venkateshyadav@mail.com,919165994683
Ramesh Sharma,rameshsharma@mail.com,919162619141
Swathi Patel,swathipatel@mail.com,919308249326
Divya Chowdary,divyachowdary@mail.com,917734058606
Anusha Rao,anusharao@mail.com,919976125909
Anusha Verma,anushaverma@mail.com,918873388032
Ramesh Yadav,rameshyadav@mail.com,918677119966
Anusha Rao,anusharao@mail.com,918878372113
Swathi Deshmukh,swathideshmukh@mail.com,917404493256
Mahesh Yadav,maheshyadav@mail.com,917131440422
Swathi Reddy,swathireddy@mail.com,919694785149
Ramesh Sharma,rameshsharma@mail.com,917034540627
Venkatesh Deshmukh,venkateshdeshmukh@mail.com,919105858438
Mahesh Chowdary,maheshchowdary@mail.com,919788271147
Karthik Goud,karthikgoud@mail.com,917039827817
Anusha Patel,anushapatel@mail.com,919711109396
Anusha Yadav,anushayadav@mail.com,918293287665
Swathi Reddy,swathireddy@mail.com,917812356456
Swathi Deshmukh,swathideshmukh@mail.com,917207914710
